targetYear,QLD,NSW,VIC,TAS,SA
2025,0.0,0.040945112448117785,0.0,0.0,0.0
2026,0.0,1.2350368846165434,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0
2028,0.0,1.5521550752241395,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.05860265910816902,0.0,0.0,0.0
2031,1.9132697424575544,0.7801487277644139,0.20470694867237132,0.0,0.035897919033257536
2032,0.0,23.60620012122156,0.0,0.0,0.0
2033,0.2209253302261041,2.4506016733239817,0.0,0.0,0.0
2034,4.529251496638941,7.456193664729636,4.878159226903544,0.0,0.7537997213189335
2035,73.51801617964128,186.57056939555054,679.5114493024195,0.29827503438723085,245.45599060072786
